section,item,metric,value
metadata,file_name,value,CRMLSListing
metadata,source_rows,count,893594
metadata,filtered_rows,count,567549
filtering_logic,PropertyType,rule,"keep rows where value equals ""Residential"""
unique_property_types,PropertyType,unique_values,"BusinessOpportunity, CommercialLease, CommercialSale, Land, ManufacturedInPark, Residential, ResidentialIncome, ResidentialLease"
null_summary,OriginalListPrice,null_count,3444
null_summary,OriginalListPrice,null_percent,0.39
null_summary,ListingKey,null_count,0
null_summary,ListingKey,null_percent,0.0
null_summary,ListAgentEmail,null_count,2372
null_summary,ListAgentEmail,null_percent,0.27
null_summary,CloseDate,null_count,635609
null_summary,CloseDate,null_percent,71.13
null_summary,ClosePrice,null_count,660222
null_summary,ClosePrice,null_percent,73.88
null_summary,ListAgentFirstName,null_count,5280
null_summary,ListAgentFirstName,null_percent,0.59
null_summary,ListAgentLastName,null_count,83
null_summary,ListAgentLastName,null_percent,0.01
null_summary,Latitude,null_count,112472
null_summary,Latitude,null_percent,12.59
null_summary,Longitude,null_count,111746
null_summary,Longitude,null_percent,12.51
null_summary,UnparsedAddress,null_count,2355
null_summary,UnparsedAddress,null_percent,0.26
null_summary,PropertyType,null_count,0
null_summary,PropertyType,null_percent,0.0
null_summary,LivingArea,null_count,110835
null_summary,LivingArea,null_percent,12.4
null_summary,ListPrice,null_count,2218
null_summary,ListPrice,null_percent,0.25
null_summary,DaysOnMarket,null_count,0
null_summary,DaysOnMarket,null_percent,0.0
null_summary,ListOfficeName,null_count,0
null_summary,ListOfficeName,null_percent,0.0
null_summary,BuyerOfficeName,null_count,646539
null_summary,BuyerOfficeName,null_percent,72.35
null_summary,CoListOfficeName,null_count,714464
null_summary,CoListOfficeName,null_percent,79.95
null_summary,ListAgentFullName,null_count,259
null_summary,ListAgentFullName,null_percent,0.03
null_summary,CoListAgentFirstName,null_count,715157
null_summary,CoListAgentFirstName,null_percent,80.03
null_summary,CoListAgentLastName,null_count,714643
null_summary,CoListAgentLastName,null_percent,79.97
null_summary,BuyerAgentMlsId,null_count,644964
null_summary,BuyerAgentMlsId,null_percent,72.18
null_summary,BuyerAgentFirstName,null_count,645121
null_summary,BuyerAgentFirstName,null_percent,72.19
null_summary,BuyerAgentLastName,null_count,644204
null_summary,BuyerAgentLastName,null_percent,72.09
null_summary,FireplacesTotal,null_count,893594
null_summary,FireplacesTotal,null_percent,100.0
null_summary,AssociationFeeFrequency,null_count,634698
null_summary,AssociationFeeFrequency,null_percent,71.03
null_summary,AboveGradeFinishedArea,null_count,893594
null_summary,AboveGradeFinishedArea,null_percent,100.0
null_summary,ListingKeyNumeric,null_count,0
null_summary,ListingKeyNumeric,null_percent,0.0
null_summary,MLSAreaMajor,null_count,101180
null_summary,MLSAreaMajor,null_percent,11.32
null_summary,TaxAnnualAmount,null_count,887237
null_summary,TaxAnnualAmount,null_percent,99.29
null_summary,CountyOrParish,null_count,1
null_summary,CountyOrParish,null_percent,0.0
null_summary,PropertyType.1,null_count,0
null_summary,PropertyType.1,null_percent,0.0
null_summary,MlsStatus,null_count,0
null_summary,MlsStatus,null_percent,0.0
null_summary,ElementarySchool,null_count,810490
null_summary,ElementarySchool,null_percent,90.7
null_summary,ListAgentFirstName.1,null_count,5280
null_summary,ListAgentFirstName.1,null_percent,0.59
null_summary,AttachedGarageYN,null_count,304146
null_summary,AttachedGarageYN,null_percent,34.04
null_summary,ParkingTotal,null_count,54492
null_summary,ParkingTotal,null_percent,6.1
null_summary,BuilderName,null_count,863049
null_summary,BuilderName,null_percent,96.58
null_summary,PropertySubType,null_count,108405
null_summary,PropertySubType,null_percent,12.13
null_summary,LotSizeAcres,null_count,85025
null_summary,LotSizeAcres,null_percent,9.51
null_summary,SubdivisionName,null_count,595407
null_summary,SubdivisionName,null_percent,66.63
null_summary,BuyerOfficeAOR,null_count,658454
null_summary,BuyerOfficeAOR,null_percent,73.69
null_summary,YearBuilt,null_count,72174
null_summary,YearBuilt,null_percent,8.08
null_summary,DaysOnMarket.1,null_count,0
null_summary,DaysOnMarket.1,null_percent,0.0
null_summary,BuyerAgencyCompensationType,null_count,770056
null_summary,BuyerAgencyCompensationType,null_percent,86.18
null_summary,StreetNumberNumeric,null_count,4024
null_summary,StreetNumberNumeric,null_percent,0.45
null_summary,LivingArea.1,null_count,110835
null_summary,LivingArea.1,null_percent,12.4
null_summary,ListingId,null_count,0
null_summary,ListingId,null_percent,0.0
null_summary,BathroomsTotalInteger,null_count,72900
null_summary,BathroomsTotalInteger,null_percent,8.16
null_summary,City,null_count,977
null_summary,City,null_percent,0.11
null_summary,BuyerAgencyCompensation,null_count,770075
null_summary,BuyerAgencyCompensation,null_percent,86.18
null_summary,TaxYear,null_count,892693
null_summary,TaxYear,null_percent,99.9
null_summary,BuildingAreaTotal,null_count,750281
null_summary,BuildingAreaTotal,null_percent,83.96
null_summary,BedroomsTotal,null_count,107296
null_summary,BedroomsTotal,null_percent,12.01
null_summary,ContractStatusChangeDate,null_count,7456
null_summary,ContractStatusChangeDate,null_percent,0.83
null_summary,Longitude.1,null_count,111746
null_summary,Longitude.1,null_percent,12.51
null_summary,ElementarySchoolDistrict,null_count,893594
null_summary,ElementarySchoolDistrict,null_percent,100.0
null_summary,CoBuyerAgentFirstName,null_count,873784
null_summary,CoBuyerAgentFirstName,null_percent,97.78
null_summary,PurchaseContractDate,null_count,516099
null_summary,PurchaseContractDate,null_percent,57.76
null_summary,ListingContractDate,null_count,0
null_summary,ListingContractDate,null_percent,0.0
null_summary,BelowGradeFinishedArea,null_count,889973
null_summary,BelowGradeFinishedArea,null_percent,99.59
null_summary,BusinessType,null_count,887358
null_summary,BusinessType,null_percent,99.3
null_summary,Latitude.1,null_count,112472
null_summary,Latitude.1,null_percent,12.59
null_summary,ListPrice.1,null_count,2218
null_summary,ListPrice.1,null_percent,0.25
null_summary,StateOrProvince,null_count,69
null_summary,StateOrProvince,null_percent,0.01
null_summary,CoveredSpaces,null_count,893594
null_summary,CoveredSpaces,null_percent,100.0
null_summary,MiddleOrJuniorSchool,null_count,810497
null_summary,MiddleOrJuniorSchool,null_percent,90.7
null_summary,FireplaceYN,null_count,127619
null_summary,FireplaceYN,null_percent,14.28
null_summary,Stories,null_count,231779
null_summary,Stories,null_percent,25.94
null_summary,HighSchool,null_count,784291
null_summary,HighSchool,null_percent,87.77
null_summary,Levels,null_count,171771
null_summary,Levels,null_percent,19.22
null_summary,ListAgentLastName.1,null_count,83
null_summary,ListAgentLastName.1,null_percent,0.01
null_summary,CloseDate.1,null_count,635609
null_summary,CloseDate.1,null_percent,71.13
null_summary,LotSizeDimensions,null_count,842544
null_summary,LotSizeDimensions,null_percent,94.29
null_summary,LotSizeArea,null_count,81090
null_summary,LotSizeArea,null_percent,9.07
null_summary,MainLevelBedrooms,null_count,480643
null_summary,MainLevelBedrooms,null_percent,53.79
null_summary,NewConstructionYN,null_count,119566
null_summary,NewConstructionYN,null_percent,13.38
null_summary,GarageSpaces,null_count,168960
null_summary,GarageSpaces,null_percent,18.91
null_summary,HighSchoolDistrict,null_count,354786
null_summary,HighSchoolDistrict,null_percent,39.7
null_summary,PostalCode,null_count,218
null_summary,PostalCode,null_percent,0.02
null_summary,BuyerOfficeName.1,null_count,646539
null_summary,BuyerOfficeName.1,null_percent,72.35
null_summary,AssociationFee,null_count,288701
null_summary,AssociationFee,null_percent,32.31
null_summary,LotSizeSquareFeet,null_count,82202
null_summary,LotSizeSquareFeet,null_percent,9.2
null_summary,MiddleOrJuniorSchoolDistrict,null_count,893594
null_summary,MiddleOrJuniorSchoolDistrict,null_percent,100.0
null_summary,UnparsedAddress.1,null_count,2355
null_summary,UnparsedAddress.1,null_percent,0.26
missing_value_report,FireplacesTotal,above_90_percent_null,100.0
missing_value_report,AboveGradeFinishedArea,above_90_percent_null,100.0
missing_value_report,TaxAnnualAmount,above_90_percent_null,99.29
missing_value_report,ElementarySchool,above_90_percent_null,90.7
missing_value_report,BuilderName,above_90_percent_null,96.58
missing_value_report,TaxYear,above_90_percent_null,99.9
missing_value_report,ElementarySchoolDistrict,above_90_percent_null,100.0
missing_value_report,CoBuyerAgentFirstName,above_90_percent_null,97.78
missing_value_report,BelowGradeFinishedArea,above_90_percent_null,99.59
missing_value_report,BusinessType,above_90_percent_null,99.3
missing_value_report,CoveredSpaces,above_90_percent_null,100.0
missing_value_report,MiddleOrJuniorSchool,above_90_percent_null,90.7
missing_value_report,LotSizeDimensions,above_90_percent_null,94.29
missing_value_report,MiddleOrJuniorSchoolDistrict,above_90_percent_null,100.0
numeric_distribution,ClosePrice,min,0.0
numeric_distribution,ClosePrice,max,820000000.0
numeric_distribution,ClosePrice,mean,778945.350234604
numeric_distribution,ClosePrice,median,560000.0
numeric_distribution,ClosePrice,p10,3000.0
numeric_distribution,ClosePrice,p25,4995.0
numeric_distribution,ClosePrice,p50,560000.0
numeric_distribution,ClosePrice,p75,1020000.0
numeric_distribution,ClosePrice,p90,1730000.0
numeric_distribution,LivingArea,min,0.0
numeric_distribution,LivingArea,max,909090909.0
numeric_distribution,LivingArea,mean,3104.4909287277437
numeric_distribution,LivingArea,median,1603.0
numeric_distribution,LivingArea,p10,880.0
numeric_distribution,LivingArea,p25,1183.0
numeric_distribution,LivingArea,p50,1603.0
numeric_distribution,LivingArea,p75,2239.0
numeric_distribution,LivingArea,p90,3131.0
numeric_distribution,DaysOnMarket,min,-58.0
numeric_distribution,DaysOnMarket,max,2539.0
numeric_distribution,DaysOnMarket,mean,18.571821207393963
numeric_distribution,DaysOnMarket,median,10.0
numeric_distribution,DaysOnMarket,p10,0.0
numeric_distribution,DaysOnMarket,p25,4.0
numeric_distribution,DaysOnMarket,p50,10.0
numeric_distribution,DaysOnMarket,p75,21.0
