section,item,metric,value
metadata,file_name,value,CRMLSSold
metadata,source_rows,count,519932
metadata,filtered_rows,count,350179
filtering_logic,PropertyType,rule,"keep rows where value equals ""Residential"""
unique_property_types,PropertyType,unique_values,"BusinessOpportunity, CommercialLease, CommercialSale, Land, ManufacturedInPark, Residential, ResidentialIncome, ResidentialLease"
null_summary,BuyerAgentAOR,null_count,73640
null_summary,BuyerAgentAOR,null_percent,14.16
null_summary,ListAgentAOR,null_count,68018
null_summary,ListAgentAOR,null_percent,13.08
null_summary,Flooring,null_count,215115
null_summary,Flooring,null_percent,41.37
null_summary,ViewYN,null_count,52415
null_summary,ViewYN,null_percent,10.08
null_summary,WaterfrontYN,null_count,519649
null_summary,WaterfrontYN,null_percent,99.95
null_summary,BasementYN,null_count,511380
null_summary,BasementYN,null_percent,98.36
null_summary,PoolPrivateYN,null_count,63195
null_summary,PoolPrivateYN,null_percent,12.15
null_summary,OriginalListPrice,null_count,1548
null_summary,OriginalListPrice,null_percent,0.3
null_summary,ListingKey,null_count,0
null_summary,ListingKey,null_percent,0.0
null_summary,ListAgentEmail,null_count,1343
null_summary,ListAgentEmail,null_percent,0.26
null_summary,CloseDate,null_count,0
null_summary,CloseDate,null_percent,0.0
null_summary,ClosePrice,null_count,6
null_summary,ClosePrice,null_percent,0.0
null_summary,ListAgentFirstName,null_count,2891
null_summary,ListAgentFirstName,null_percent,0.56
null_summary,ListAgentLastName,null_count,54
null_summary,ListAgentLastName,null_percent,0.01
null_summary,Latitude,null_count,19066
null_summary,Latitude,null_percent,3.67
null_summary,Longitude,null_count,18890
null_summary,Longitude,null_percent,3.63
null_summary,UnparsedAddress,null_count,808
null_summary,UnparsedAddress,null_percent,0.16
null_summary,PropertyType,null_count,0
null_summary,PropertyType,null_percent,0.0
null_summary,LivingArea,null_count,36765
null_summary,LivingArea,null_percent,7.07
null_summary,ListPrice,null_count,810
null_summary,ListPrice,null_percent,0.16
null_summary,DaysOnMarket,null_count,0
null_summary,DaysOnMarket,null_percent,0.0
null_summary,ListOfficeName,null_count,0
null_summary,ListOfficeName,null_percent,0.0
null_summary,BuyerOfficeName,null_count,6018
null_summary,BuyerOfficeName,null_percent,1.16
null_summary,CoListOfficeName,null_count,407226
null_summary,CoListOfficeName,null_percent,78.32
null_summary,ListAgentFullName,null_count,165
null_summary,ListAgentFullName,null_percent,0.03
